magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami
7.8,0,9,936,368,0,0,10,35.946,90.541,2001,11,0
7,0,7,754,254,0,0,33,-5.912,150.196,2001,10,0
7.5,0,6,865,234,0,0,33,-4.102,123.907,2001,10,0
7,0,6,754,482,0,0,37,12.686,144.98,2001,10,0
6.5,0,6,650,174,0,0,33,-0.578,133.13,2001,9,0
6.6,6,6,754,0,0,0,131.8,58.775,-154.701,2001,7,0
6.5,0,8,650,483,0,0,10,39.059,24.244,2001,7,0
7.6,0,7,889,398,0,0,33,-17.543,-72.077,2001,7,0
6.6,0,7,670,324,0,0,62,-16.086,-73.987,2001,7,0
6.7,0,6,691,422,0,0,24,-17.745,-71.649,2001,6,0
8.4,0,8,1086,518,0,0,33,-16.265,-73.641,2001,6,0
6.7,0,6,691,282,0,0,17,-7.41,155.865,2001,4,0
6.8,0,7,711,596,0,0,50,34.083,132.526,2001,3,0
6.5,0,6,650,206,0,0,33,-4.029,128.02,2001,3,0
6.8,7,7,1441,67,0,31,51.798,47.149,-122.727,2001,2,0
7.1,0,7,776,426,0,0,35,1.271,126.249,2001,2,0
7.4,0,6,842,221,0,0,36,-4.68,102.562,2001,2,0
6.6,0,8,670,273,0,0,10,13.671,-88.938,2001,2,0
7.7,0,9,912,472,0,0,16,23.419,70.232,2001,1,0
6.9,0,6,732,117,0,0,28,-4.022,101.776,2001,1,0
7.7,0,8,912,427,0,0,60,13.049,-88.66,2001,1,0
6.9,5,7,745,0,0,0,36.4,56.7744,-153.281,2001,1,0
7.1,0,7,776,372,0,0,103,-14.928,167.17,2001,1,0
6.8,0,5,711,64,0,0,33,6.631,126.899,2001,1,0
7.5,0,7,865,324,0,0,33,6.898,126.579,2001,1,0
